name,code,r,g,b,hex,brand,url
"ROSE PETAL","PPG1057-3","230","193","187","#E6C1BB","PPG","/color/color-families/pinks/rose-petal"
"KANGAROO PAW","PPG1060-3","222","202","197","#DECAC5","PPG","/color/color-families/pinks/kangaroo-paw"
"TANGY TAFFY","PPG1058-3","231","202","195","#E7CAC3","PPG","/color/color-families/pinks/tangy-taffy"
"WHIRLIGIG","PPG1054-3","230","205","202","#E6CDCA","PPG","/color/color-families/pinks/whirligig"
"POWDERED PETALS","PPG1053-3","227","199","198","#E3C7C6","PPG","/color/color-families/reds/powdered-petals"
"STRAWFLOWER","PPG1052-3","221","189","186","#DDBDBA","PPG","/color/color-families/reds/strawflower"
"ROSE HIP","PPG1055-3","219","185","182","#DBB9B6","PPG","/color/color-families/pinks/rose-hip"
"ASHES OF ROSES","PPG1056-3","217","188","183","#D9BCB7","PPG","/color/color-families/pinks/ashes-of-roses"
"REINDEER","PPG1059-3","218","192","186","#DAC0BA","PPG","/color/color-families/pinks/reindeer"
"MY ALIBI","PPG1018-2","212","203","196","#D4CBC4","PPG","/color/color-families/neutrals/my-alibi"
"FIRST KISS","PPG1017-2","217","202","195","#D9CAC3","PPG","/color/color-families/neutrals/first-kiss"
"IN THE BUFF","PPG1019-2","214","203","191","#D6CBBF","PPG","/color/color-families/neutrals/in-the-buff"
"RIVER ROCK","PPG18-02","216","205","196","#D8CDC4","PPG","/color/color-families/neutrals/river-rock"
"ELUSION","PPG1005-2","210","207","204","#D2CFCC","PPG","/color/color-families/neutrals/elusion"
"STEEL ME","PPG1018-1","221","213","206","#DDD5CE","PPG","/color/color-families/neutrals/steel-me"
"WARMSTONE","PPG1015-3","230","215","204","#E6D7CC","PPG","/color/color-families/neutrals/warmstone"
"CHINA SILK","PPG1060-2","227","209","204","#E3D1CC","PPG","/color/color-families/pinks/china-silk"
"ROMEO","PPG1056-2","227","210","206","#E3D2CE","PPG","/color/color-families/pinks/romeo"
"BIRTHDAY CAKE","PPG1059-2","233","210","204","#E9D2CC","PPG","/color/color-families/pinks/birthday-cake"
